#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
QAN,20130411,00:00:00.000,ENTER,1.760,6000,0,10560,,0,6255769550532208125,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.760,5000,0,8800,,0,6255769550532222756,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.755,2800,0,4914,,0,6255769550531415483,,B,,,,236,
QAN,20130411,00:00:00.000,ENTER,1.755,20000,0,35100,,0,6255373176587553744,,B,,,,678,
QAN,20130411,00:00:00.000,ENTER,1.750,1021,0,1786.75,,0,6255769550530663327,,B,,,,236,
QAN,20130411,00:00:00.000,ENTER,1.750,1779,0,3113.25,,0,6255769550530672398,,B,,,,236,
QAN,20130411,00:00:00.000,ENTER,1.745,2800,0,4886,,0,6255769550529828472,,B,,,,236,
QAN,20130411,00:00:00.000,ENTER,1.745,14504,0,25309.48,,0,6255769550531235837,,B,,,,255,
QAN,20130411,00:00:00.000,ENTER,1.740,2330,0,4054.2,,0,6255769550529826764,,B,,,,236,
QAN,20130411,00:00:00.000,ENTER,1.735,2330,0,4042.55,,0,6255769550529753532,,B,,,,236,
QAN,20130411,00:00:00.000,ENTER,1.735,2800,0,4858,,0,6255769550529952837,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.735,20000,0,34700,,0,6255769550530235704,,B,,,,638,
QAN,20130411,00:00:00.000,ENTER,1.735,20006,0,34710.41,,0,6255769550531740192,,B,,,,638,
QAN,20130411,00:00:00.000,ENTER,1.730,20000,0,34600,,0,6255769550529557447,,B,,,,678,
QAN,20130411,00:00:00.000,ENTER,1.730,5315,0,9194.95,,0,6255769550530386547,,B,,,,122,
QAN,20130411,00:00:00.000,ENTER,1.730,40935,0,70817.55,,0,6255769550532366865,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.725,20000,0,34500,,0,6255769550529560919,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.725,30000,0,51750,,0,6255769550529558665,,B,,,,678,
QAN,20130411,00:00:00.000,ENTER,1.720,581,0,999.32,,0,6254970755335154272,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.720,8000,0,13760,,0,6254970755335433284,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.720,2000,0,3440,,0,6254970755335454044,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.720,1500,0,2580,,0,6255373176589073436,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.720,11500,0,19780,,0,6255769550530043046,,B,,,,244,
QAN,20130411,00:00:00.000,ENTER,1.715,10000,0,17150,,0,6254970755333214568,,B,,,,144,
QAN,20130411,00:00:00.000,ENTER,1.715,20000,0,34300,,0,6255769550529673693,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.710,58619,0,100238.49,,0,6254970755333273813,,B,,,,638,
QAN,20130411,00:00:00.000,ENTER,1.710,9000,0,15390,,0,6254970755333812978,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.710,2000,0,3420,,0,6254970755334032110,,B,,,,140,
QAN,20130411,00:00:00.000,ENTER,1.710,10971,0,18760.41,,0,6254970755335398427,,B,,,,122,
