#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
PRU,20130423,00:00:00.000,ENTER,3.220,15432,0,49691.04,OB0 ,0,6045196022792950703,,B,,,,923,
PRU,20130423,00:00:00.000,ENTER,3.270,11839,0,38713.53,OB0 ,0,,6045196022792950693,A,,,,,923
PRU,20130423,00:00:00.000,ENTER,1.585,169,0,267.865,OB0 ,0,5193054836029493258,,B,,,,266,
PRU,20130423,00:00:00.000,ENTER,3.240,15241,0,49380.84,OB0 ,0,,6045196022792943621,A,,,,,203
PRU,20130423,00:00:00.000,ENTER,1.150,7500,0,8625,OB0 ,0,1446753368398468221,,B,,,,140,
PRU,20130423,00:00:00.000,ENTER,3.110,4823,0,14999.53,OB0 ,0,6045196022790022504,,B,,,,140,
PRU,20130423,00:00:00.000,ENTER,2.870,500,0,1435,OB0 ,0,6034150603855284613,,B,,,,140,
PRU,20130423,00:00:00.000,ENTER,3.400,16610,0,56474,OB0 ,0,,6045196022790027277,A,,,,,140
PRU,20130423,00:00:00.000,ENTER,3.200,30000,0,96000,OB0 ,0,6045196022792930363,,B,,,,110,
PRU,20130423,00:00:00.000,ENTER,3.190,44862,0,143109.78,OB0 ,0,6045196022792851436,,B,,,,110,
PRU,20130423,00:00:00.000,ENTER,3.190,30000,0,95700,OB0 ,0,6045196022792928790,,B,,,,110,
PRU,20130423,00:00:00.000,ENTER,3.180,22904,0,72834.72,OB0 ,0,6045196022792851435,,B,,,,110,
PRU,20130423,00:00:00.000,ENTER,3.160,10000,0,31600,OB0 ,0,6045196022792763182,,B,,,,110,
PRU,20130423,00:00:00.000,ENTER,3.130,44862,0,140418.06,OB0 ,0,6045196022792695395,,B,,,,110,
PRU,20130423,00:00:00.000,ENTER,3.130,44862,0,140418.06,OB0 ,0,6045196022792890081,,B,,,,110,
PRU,20130423,00:00:00.000,ENTER,3.120,17165,0,53554.8,OB0 ,0,6045196022792695394,,B,,,,110,
PRU,20130423,00:00:00.000,ENTER,3.120,22904,0,71460.48,OB0 ,0,6045196022792890119,,B,,,,110,
PRU,20130423,00:00:00.000,ENTER,3.260,30000,0,97800,OB0 ,0,,6045196022792930373,A,,,,,110
PRU,20130423,00:00:00.000,ENTER,3.270,30000,0,98100,OB0 ,0,,6045196022792928713,A,,,,,110
PRU,20130423,00:00:00.000,ENTER,3.300,248,0,818.4,OB0 ,0,,6045196022792851439,A,,,,,110
PRU,20130423,00:00:00.000,ENTER,3.310,10000,0,33100,OB0 ,0,,6045196022792763202,A,,,,,110
PRU,20130423,00:00:00.000,ENTER,3.350,2475,0,8291.25,OB0 ,0,,6045196022792695396,A,,,,,110
PRU,20130423,00:00:00.000,ENTER,3.190,3000,0,9570,OB0 ,0,6045196022790675957,,B,,,,144,
PRU,20130423,00:00:00.000,ENTER,3.240,3846,0,12461.04,OB0 ,0,,6045196022792959328,A,,,,,299
PRU,20130423,00:00:00.000,ENTER,3.250,3880,0,12610,OB0 ,0,,6045196022792959771,A,,,,,299
PRU,20130423,00:00:00.000,ENTER,3.260,3664,0,11944.64,OB0 ,0,,6045196022792959415,A,,,,,299
PRU,20130423,00:00:00.000,ENTER,0.950,100000,0,95000,OB0 ,0,8465573342933364559,,B,,,,254,
PRU,20130423,00:00:00.000,ENTER,0.980,100000,0,98000,OB0 ,0,17722722379017005036,,B,,,,254,
PRU,20130423,00:00:00.000,ENTER,2.500,1000,0,2500,OB0 ,0,6045196022790015840,,B,,,,231,
PRU,20130423,00:00:00.000,ENTER,1.360,28532,0,38803.52,,0,6260512285347017586,,B,,,,140,
PRU,20130423,00:00:00.000,ENTER,1.350,10000,0,13500,,0,6260512285346643978,,B,,,,144,
PRU,20130423,00:00:00.000,ENTER,1.310,1400,0,1834,,0,6259331959616678868,,B,,,,140,
PRU,20130423,00:00:00.000,ENTER,1.310,2000,0,2620,,0,6260512285348537765,,B,,,,140,
PRU,20130423,00:00:00.000,ENTER,1.300,50000,0,65000,,0,6259331959615110711,,B,,,,311,
PRU,20130423,00:00:00.000,ENTER,1.275,7000,0,8925,,0,6259331959614282728,,B,,,,140,
PRU,20130423,00:00:00.000,ENTER,1.250,1600,0,2000,,0,6259331959615179218,,B,,,,255,
PRU,20130423,00:00:00.000,ENTER,1.200,2916,0,3499.2,,0,6258936135430357034,,B,,,,140,
PRU,20130423,00:00:00.000,ENTER,1.200,500,0,600,,0,6259331959615583833,,B,,,,140,
PRU,20130423,00:00:00.000,ENTER,1.200,10000,0,12000,,0,6260512285348366885,,B,,,,140,
PRU,20130423,00:00:00.000,ENTER,1.180,5000,0,5900,,0,6258936135430004023,,B,,,,677,
PRU,20130423,00:00:00.000,ENTER,1.150,2500,0,2875,,0,6258143937300484112,,B,,,,244,
PRU,20130423,00:00:00.000,ENTER,1.150,5000,0,5750,,0,6258936135430007455,,B,,,,677,
PRU,20130423,00:00:00.000,ENTER,1.150,2000,0,2300,,0,6259331959613415642,,B,,,,140,
PRU,20130423,00:00:00.000,ENTER,1.150,10000,0,11500,,0,6259331959613433561,,B,,,,677,
PRU,20130423,00:00:00.000,ENTER,1.125,10000,0,11250,,0,6258936135429563163,,B,,,,144,
PRU,20130423,00:00:00.000,ENTER,1.120,2000,0,2240,,0,6258143937299596057,,B,,,,144,
PRU,20130423,00:00:00.000,ENTER,1.100,2000,0,2200,,0,6258143937303060297,,B,,,,144,
